Date,Type,Description,Amount,RunningTotal
3029-01-04,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"200,605,010 C-Bill"
3029-01-04,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"200,604,710 C-Bill"
3029-01-04,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"200,604,450 C-Bill"
3029-01-05,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"200,604,150 C-Bill"
3029-01-05,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"200,604,050 C-Bill"
3029-01-05,Maintenance,Maintenance for Panther PNT-9R,CSB -300,"200,603,750 C-Bill"
3029-01-05,Maintenance,Maintenance for Panther PNT-9R #2,CSB -300,"200,603,450 C-Bill"
3029-01-05,Maintenance,Maintenance for Goblin Medium Tank,CSB -100,"200,603,350 C-Bill"
3029-01-05,Unit Sale(s),Sale of Panther PNT-9R,CSB 1476020,"202,079,370 C-Bill"
3029-01-05,Unit Sale(s),Sale of Panther PNT-9R,CSB 1242511,"203,321,881 C-Bill"
3029-01-05,Recruitment,Recruitment of Rita Riley,CSB -3000,"203,318,881 C-Bill"
3029-01-05,Unit Purchase(s),Purchased Partisan Heavy Tank,CSB -1493280,"201,825,601 C-Bill"
3029-01-10,Maintenance,Maintenance for Saladin Assault Hover Tank (Armor),CSB -100,"201,825,501 C-Bill"
3029-01-28,Maintenance,Maintenance for Locust LCT-1V,CSB -300,"201,825,201 C-Bill"
3029-01-29,Maintenance,Maintenance for Javelin JVN-10F 'Fire Javelin',CSB -300,"201,824,901 C-Bill"
3029-01-29,Maintenance,Maintenance for Hunchback HBK-4P,CSB -300,"201,824,601 C-Bill"
3029-01-29,Maintenance,Maintenance for Griffin GRF-1S,CSB -300,"201,824,301 C-Bill"
3029-01-29,Maintenance,Maintenance for Black Knight BL-7-KNT-L,CSB -300,"201,824,001 C-Bill"
3029-01-29,Maintenance,Maintenance for Grasshopper GHR-5H,CSB -300,"201,823,701 C-Bill"
3029-01-29,Maintenance,Maintenance for Stalker STK-4N,CSB -300,"201,823,401 C-Bill"
3029-01-29,Maintenance,Maintenance for Strike Falcon Attack VTOL,CSB -260,"201,823,141 C-Bill"
3029-01-29,Maintenance,Maintenance for Hunchback HBK-4P #2,CSB -300,"201,822,841 C-Bill"
3029-01-29,Maintenance,Maintenance for Strike Falcon Attack VTOL #2,CSB -260,"201,822,581 C-Bill"
3029-01-29,Maintenance,Maintenance for Strike Falcon Attack VTOL #3,CSB -260,"201,822,321 C-Bill"
3029-01-29,Maintenance,Maintenance for MASH Truck (ICE),CSB -100,"201,822,221 C-Bill"
3029-01-29,Maintenance,Maintenance for Leopard (Black Swan Mk III) - The Black Swan,CSB -2000,"201,820,221 C-Bill"
3029-01-29,Maintenance,Maintenance for Heavy BattleMech Recovery Vehicle,CSB -100,"201,820,121 C-Bill"
3029-01-29,Maintenance,Maintenance for Boomerang Spotter Plane,CSB -200,"201,819,921 C-Bill"
3029-01-29,Maintenance,Maintenance for Partisan Heavy Tank,CSB -100,"201,819,821 C-Bill"
3029-01-29,Maintenance,Maintenance for Partisan Heavy Tank #2,CSB -100,"201,819,721 C-Bill"
3029-01-29,Maintenance,Maintenance for Partisan Heavy Tank #3,CSB -100,"201,819,621 C-Bill"
3029-01-29,Maintenance,Maintenance for Union (2708),CSB -2000,"201,817,621 C-Bill"
3029-01-29,Maintenance,Maintenance for Gazelle (Heavy Vehicle) Mk II,CSB -2000,"201,815,621 C-Bill"
3029-01-29,Maintenance,Maintenance for Cicada CDA-3C,CSB -300,"201,815,321 C-Bill"
3029-01-29,Maintenance,Maintenance for Pegasus Scout Hover Tank,CSB -100,"201,815,221 C-Bill"
3029-01-30,Maintenance,Maintenance for Rifleman RFL-3N,CSB -300,"201,814,921 C-Bill"
3029-01-30,Maintenance,Maintenance for Wolfhound WLF-1,CSB -300,"201,814,621 C-Bill"
3029-01-30,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"201,814,521 C-Bill"
3029-01-30,Maintenance,Maintenance for Behemoth Heavy Tank,CSB -100,"201,814,421 C-Bill"
3029-01-30,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"201,814,321 C-Bill"
3029-01-30,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"201,814,061 C-Bill"
3029-01-30,Maintenance,Maintenance for Warrior Attack Helicopter H-7A #2,CSB -260,"201,813,801 C-Bill"
3029-01-30,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"201,813,701 C-Bill"
3029-01-30,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"201,813,601 C-Bill"
3029-01-30,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"201,813,501 C-Bill"
3029-02-01,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"201,813,201 C-Bill"
3029-02-01,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"201,812,901 C-Bill"
3029-02-01,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"201,812,641 C-Bill"
3029-02-01,Contract Payments,Monthly payment for Invasion New Caledonia,CSB 8178490,"209,991,131 C-Bill"
3029-02-01,Maintenance,Monthly Spare Parts,CSB -189303,"209,801,828 C-Bill"
3029-02-01,Maintenance,Monthly Ammunition,CSB -569413,"209,232,415 C-Bill"
3029-02-01,Maintenance,Monthly Fuel bill,CSB -1972624,"207,259,791 C-Bill"
3029-02-01,Salaries,Monthly salaries,CSB -508344,"206,751,447 C-Bill"
3029-02-01,Overhead,Monthly overhead,CSB -25417,"206,726,030 C-Bill"
3029-02-01,Repairs,Repair of Vehicle Front,CSB 0,"206,726,030 C-Bill"
3029-02-01,Repairs,Repair of Turret Lock,CSB 0,"206,726,030 C-Bill"
3029-02-01,Repairs,Repair of Vehicle Stabiliser,CSB 0,"206,726,030 C-Bill"
3029-02-01,Recruitment,Recruitment of Remi Pérez,CSB -1800,"206,724,230 C-Bill"
3029-02-01,Recruitment,Recruitment of Bjarne Lunden,CSB -1800,"206,722,430 C-Bill"
3029-02-01,Recruitment,Recruitment of Baariq Yun,CSB -1800,"206,720,630 C-Bill"
3029-02-01,Recruitment,Recruitment of Quentin Bonnet,CSB -1800,"206,718,830 C-Bill"
3029-02-01,Recruitment,Recruitment of Mike Amendola,CSB -1800,"206,717,030 C-Bill"
3029-02-01,Recruitment,Recruitment of Fuyuko Lindgaard,CSB -1800,"206,715,230 C-Bill"
3029-02-01,Recruitment,Recruitment of Darsanapala Hemolekekeakua,CSB -1800,"206,713,430 C-Bill"
3029-02-01,Recruitment,Recruitment of Amtesvara Ramamoorthy,CSB -1800,"206,711,630 C-Bill"
3029-02-02,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"206,711,330 C-Bill"
3029-02-02,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"206,711,230 C-Bill"
3029-02-02,Maintenance,Maintenance for Goblin Medium Tank,CSB -100,"206,711,130 C-Bill"
3029-02-02,Repairs,Repair of Vehicle Front,CSB 0,"206,711,130 C-Bill"
3029-02-02,Repairs,Repair of 105 ICE [Vehicle] Engine,CSB -3675,"206,707,455 C-Bill"
3029-02-06,Maintenance,Maintenance for Maxim Heavy Hover Transport (SRM4),CSB -100,"206,707,355 C-Bill"
3029-02-06,Maintenance,Maintenance for Maxim Heavy Hover Transport #2,CSB -100,"206,707,255 C-Bill"
3029-02-06,Maintenance,Maintenance for Maxim Heavy Hover Transport #3,CSB -100,"206,707,155 C-Bill"
3029-02-06,Maintenance,Maintenance for Lightning LTN-G15,CSB -260,"206,706,895 C-Bill"
3029-02-06,Maintenance,Maintenance for Stingray F-90,CSB -260,"206,706,635 C-Bill"
3029-02-06,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #2,CSB -260,"206,706,375 C-Bill"
3029-02-07,Maintenance,Maintenance for Saladin Assault Hover Tank (Armor),CSB -100,"206,706,275 C-Bill"
3029-02-12,Maintenance,Maintenance for Thunderbolt TDR-5SS,CSB -300,"206,705,975 C-Bill"
3029-02-15,Maintenance,Maintenance for Thunderbolt TDR-5SS #2,CSB -300,"206,705,675 C-Bill"
3029-02-25,Maintenance,Maintenance for Locust LCT-1V,CSB -300,"206,705,375 C-Bill"
3029-02-26,Maintenance,Maintenance for Javelin JVN-10F 'Fire Javelin',CSB -300,"206,705,075 C-Bill"
3029-02-26,Maintenance,Maintenance for Hunchback HBK-4P,CSB -300,"206,704,775 C-Bill"
3029-02-26,Maintenance,Maintenance for Black Knight BL-7-KNT-L,CSB -300,"206,704,475 C-Bill"
3029-02-26,Maintenance,Maintenance for Stalker STK-4N,CSB -300,"206,704,175 C-Bill"
3029-02-26,Maintenance,Maintenance for Strike Falcon Attack VTOL,CSB -260,"206,703,915 C-Bill"
3029-02-26,Maintenance,Maintenance for Hunchback HBK-4P #2,CSB -300,"206,703,615 C-Bill"
3029-02-26,Maintenance,Maintenance for Strike Falcon Attack VTOL #2,CSB -260,"206,703,355 C-Bill"
3029-02-26,Maintenance,Maintenance for Strike Falcon Attack VTOL #3,CSB -260,"206,703,095 C-Bill"
3029-02-26,Maintenance,Maintenance for MASH Truck (ICE),CSB -100,"206,702,995 C-Bill"
3029-02-26,Maintenance,Maintenance for Leopard (Black Swan Mk III) - The Black Swan,CSB -2000,"206,700,995 C-Bill"
3029-02-26,Maintenance,Maintenance for Heavy BattleMech Recovery Vehicle,CSB -100,"206,700,895 C-Bill"
3029-02-26,Maintenance,Maintenance for Boomerang Spotter Plane,CSB -200,"206,700,695 C-Bill"
3029-02-26,Maintenance,Maintenance for Partisan Heavy Tank,CSB -100,"206,700,595 C-Bill"
3029-02-26,Maintenance,Maintenance for Partisan Heavy Tank #2,CSB -100,"206,700,495 C-Bill"
3029-02-26,Maintenance,Maintenance for Partisan Heavy Tank #3,CSB -100,"206,700,395 C-Bill"
3029-02-26,Maintenance,Maintenance for Union (2708),CSB -2000,"206,698,395 C-Bill"
3029-02-26,Maintenance,Maintenance for Gazelle (Heavy Vehicle) Mk II,CSB -2000,"206,696,395 C-Bill"
3029-02-26,Maintenance,Maintenance for Cicada CDA-3C,CSB -300,"206,696,095 C-Bill"
3029-02-26,Maintenance,Maintenance for Pegasus Scout Hover Tank,CSB -100,"206,695,995 C-Bill"
3029-02-27,Maintenance,Maintenance for Rifleman RFL-3N,CSB -300,"206,695,695 C-Bill"
3029-02-27,Maintenance,Maintenance for Wolfhound WLF-1,CSB -300,"206,695,395 C-Bill"
3029-02-27,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"206,695,295 C-Bill"
3029-02-27,Maintenance,Maintenance for Behemoth Heavy Tank,CSB -100,"206,695,195 C-Bill"
3029-02-27,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"206,695,095 C-Bill"
3029-02-27,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"206,694,835 C-Bill"
3029-02-27,Maintenance,Maintenance for Warrior Attack Helicopter H-7A #2,CSB -260,"206,694,575 C-Bill"
3029-02-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"206,694,475 C-Bill"
3029-02-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"206,694,375 C-Bill"
3029-02-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"206,694,275 C-Bill"
3029-03-01,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"206,693,975 C-Bill"
3029-03-01,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"206,693,675 C-Bill"
3029-03-01,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"206,693,415 C-Bill"
3029-03-01,Contract Payments,Monthly payment for Invasion New Caledonia,CSB 8178490,"214,871,905 C-Bill"
3029-03-01,Maintenance,Monthly Spare Parts,CSB -189303,"214,682,602 C-Bill"
3029-03-01,Maintenance,Monthly Ammunition,CSB -569413,"214,113,189 C-Bill"
3029-03-01,Maintenance,Monthly Fuel bill,CSB -1972624,"212,140,565 C-Bill"
3029-03-01,Salaries,Monthly salaries,CSB -516324,"211,624,241 C-Bill"
3029-03-01,Overhead,Monthly overhead,CSB -25816,"211,598,425 C-Bill"
3029-03-01,Repairs,Repair of Turret,CSB -150,"211,598,275 C-Bill"
3029-03-01,Repairs,Repair of Vehicle Front,CSB 0,"211,598,275 C-Bill"
3029-03-02,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"211,597,975 C-Bill"
3029-03-02,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"211,597,875 C-Bill"
3029-03-02,Maintenance,Maintenance for Goblin Medium Tank,CSB -100,"211,597,775 C-Bill"
3029-03-02,Repairs,Repair of Vehicle Stabiliser,CSB 0,"211,597,775 C-Bill"
3029-03-03,Repairs,Repair of Turret,CSB -100,"211,597,675 C-Bill"
3029-03-03,Repairs,Repair of Vehicle Stabiliser,CSB 0,"211,597,675 C-Bill"
3029-03-05,Maintenance,Maintenance for Partisan Heavy Tank #4,CSB -100,"211,597,575 C-Bill"
3029-03-05,Recruitment,Recruitment of Will Juusten,CSB -600,"211,596,975 C-Bill"
3029-03-05,Recruitment,Recruitment of Rui Shinohara,CSB -1080,"211,595,895 C-Bill"
3029-03-05,Recruitment,Recruitment of Cecilie Hrusovsky,CSB -1080,"211,594,815 C-Bill"
3029-03-05,Recruitment,Recruitment of Cheung Tse,CSB -1800,"211,593,015 C-Bill"
3029-03-05,Recruitment,Recruitment of Cecilia Friedmann,CSB -1200,"211,591,815 C-Bill"
3029-03-05,Recruitment,Recruitment of Heesoo Kyon,CSB -1800,"211,590,015 C-Bill"
3029-03-05,Recruitment,Recruitment of Jenda Mkrtchan,CSB -1800,"211,588,215 C-Bill"
3029-03-05,Recruitment,Recruitment of Pedro Guerrero,CSB -1800,"211,586,415 C-Bill"
3029-03-06,Maintenance,Maintenance for Maxim Heavy Hover Transport (SRM4),CSB -100,"211,586,315 C-Bill"
3029-03-06,Maintenance,Maintenance for Maxim Heavy Hover Transport #2,CSB -100,"211,586,215 C-Bill"
3029-03-06,Maintenance,Maintenance for Maxim Heavy Hover Transport #3,CSB -100,"211,586,115 C-Bill"
3029-03-06,Maintenance,Maintenance for Lightning LTN-G15,CSB -260,"211,585,855 C-Bill"
3029-03-06,Maintenance,Maintenance for Stingray F-90,CSB -260,"211,585,595 C-Bill"
3029-03-06,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #2,CSB -260,"211,585,335 C-Bill"
3029-03-07,Maintenance,Maintenance for Saladin Assault Hover Tank (Armor),CSB -100,"211,585,235 C-Bill"
3029-03-11,Repairs,Repair of Rotor,CSB -5040,"211,580,195 C-Bill"
3029-03-25,Maintenance,Maintenance for Locust LCT-1V,CSB -300,"211,579,895 C-Bill"
3029-03-26,Maintenance,Maintenance for Javelin JVN-10F 'Fire Javelin',CSB -300,"211,579,595 C-Bill"
3029-03-26,Maintenance,Maintenance for Hunchback HBK-4P,CSB -300,"211,579,295 C-Bill"
3029-03-26,Maintenance,Maintenance for Griffin GRF-1S,CSB -300,"211,578,995 C-Bill"
3029-03-26,Maintenance,Maintenance for Black Knight BL-7-KNT-L,CSB -300,"211,578,695 C-Bill"
3029-03-26,Maintenance,Maintenance for Grasshopper GHR-5H,CSB -300,"211,578,395 C-Bill"
3029-03-26,Maintenance,Maintenance for Stalker STK-4N,CSB -300,"211,578,095 C-Bill"
3029-03-26,Maintenance,Maintenance for Strike Falcon Attack VTOL,CSB -260,"211,577,835 C-Bill"
3029-03-26,Maintenance,Maintenance for Hunchback HBK-4P #2,CSB -300,"211,577,535 C-Bill"
3029-03-26,Maintenance,Maintenance for Strike Falcon Attack VTOL #2,CSB -260,"211,577,275 C-Bill"
3029-03-26,Maintenance,Maintenance for Strike Falcon Attack VTOL #3,CSB -260,"211,577,015 C-Bill"
3029-03-26,Maintenance,Maintenance for MASH Truck (ICE),CSB -100,"211,576,915 C-Bill"
3029-03-26,Maintenance,Maintenance for Leopard (Black Swan Mk III) - The Black Swan,CSB -2000,"211,574,915 C-Bill"
3029-03-26,Maintenance,Maintenance for Heavy BattleMech Recovery Vehicle,CSB -100,"211,574,815 C-Bill"
3029-03-26,Maintenance,Maintenance for Boomerang Spotter Plane,CSB -200,"211,574,615 C-Bill"
3029-03-26,Maintenance,Maintenance for Partisan Heavy Tank,CSB -100,"211,574,515 C-Bill"
3029-03-26,Maintenance,Maintenance for Partisan Heavy Tank #2,CSB -100,"211,574,415 C-Bill"
3029-03-26,Maintenance,Maintenance for Partisan Heavy Tank #3,CSB -100,"211,574,315 C-Bill"
3029-03-26,Maintenance,Maintenance for Union (2708),CSB -2000,"211,572,315 C-Bill"
3029-03-26,Maintenance,Maintenance for Gazelle (Heavy Vehicle) Mk II,CSB -2000,"211,570,315 C-Bill"
3029-03-26,Maintenance,Maintenance for Cicada CDA-3C,CSB -300,"211,570,015 C-Bill"
3029-03-26,Maintenance,Maintenance for Pegasus Scout Hover Tank,CSB -100,"211,569,915 C-Bill"
3029-03-27,Maintenance,Maintenance for Rifleman RFL-3N,CSB -300,"211,569,615 C-Bill"
3029-03-27,Maintenance,Maintenance for Wolfhound WLF-1,CSB -300,"211,569,315 C-Bill"
3029-03-27,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"211,569,215 C-Bill"
3029-03-27,Maintenance,Maintenance for Behemoth Heavy Tank,CSB -100,"211,569,115 C-Bill"
3029-03-27,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"211,569,015 C-Bill"
3029-03-27,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"211,568,755 C-Bill"
3029-03-27,Maintenance,Maintenance for Warrior Attack Helicopter H-7A #2,CSB -260,"211,568,495 C-Bill"
3029-03-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"211,568,395 C-Bill"
3029-03-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"211,568,295 C-Bill"
3029-03-27,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"211,568,195 C-Bill"
3029-03-29,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"211,567,895 C-Bill"
3029-03-29,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"211,567,595 C-Bill"
3029-03-29,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"211,567,335 C-Bill"
3029-03-30,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"211,567,035 C-Bill"
3029-03-30,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"211,566,935 C-Bill"
3029-03-30,Maintenance,Maintenance for Goblin Medium Tank,CSB -100,"211,566,835 C-Bill"
3029-04-01,Contract Payments,Monthly payment for Invasion New Caledonia,CSB 8178490,"219,745,325 C-Bill"
3029-04-01,Maintenance,Monthly Spare Parts,CSB -189303,"219,556,022 C-Bill"
3029-04-01,Maintenance,Monthly Ammunition,CSB -569413,"218,986,609 C-Bill"
3029-04-01,Maintenance,Monthly Fuel bill,CSB -1972624,"217,013,985 C-Bill"
3029-04-01,Salaries,Monthly salaries,CSB -524744,"216,489,241 C-Bill"
3029-04-01,Overhead,Monthly overhead,CSB -26237,"216,463,004 C-Bill"
3029-04-01,Recruitment,Recruitment of Allen Farley,CSB -600,"216,462,404 C-Bill"
3029-04-01,Recruitment,Recruitment of Curt Shivensky,CSB -1000,"216,461,404 C-Bill"
3029-04-01,Recruitment,Recruitment of Carmen Nylan,CSB -1800,"216,459,604 C-Bill"
3029-04-01,Recruitment,Recruitment of Liach Bullard,CSB -1800,"216,457,804 C-Bill"
3029-04-01,Recruitment,Recruitment of Uditi Ra'id,CSB -2880,"216,454,924 C-Bill"
3029-04-01,Recruitment,Recruitment of Patricia Tran-Thanh,CSB -900,"216,454,024 C-Bill"
3029-04-01,Recruitment,Recruitment of Seo-Young Dou,CSB -1080,"216,452,944 C-Bill"
3029-04-01,Recruitment,Recruitment of Ksamabhuj Mudigonda,CSB -1080,"216,451,864 C-Bill"
3029-04-01,Recruitment,Recruitment of Montrell Cajani,CSB -1080,"216,450,784 C-Bill"
3029-04-01,Repairs,Repair of Mech Left Leg,CSB -384,"216,450,400 C-Bill"
3029-04-01,Repairs,Repair of Vehicle Stabiliser,CSB 0,"216,450,400 C-Bill"
3029-04-02,Maintenance,Maintenance for Partisan Heavy Tank #4,CSB -100,"216,450,300 C-Bill"
3029-04-03,Maintenance,Maintenance for Maxim Heavy Hover Transport (SRM4),CSB -100,"216,450,200 C-Bill"
3029-04-03,Maintenance,Maintenance for Maxim Heavy Hover Transport #2,CSB -100,"216,450,100 C-Bill"
3029-04-03,Maintenance,Maintenance for Maxim Heavy Hover Transport #3,CSB -100,"216,450,000 C-Bill"
3029-04-03,Maintenance,Maintenance for Lightning LTN-G15,CSB -260,"216,449,740 C-Bill"
3029-04-03,Maintenance,Maintenance for Stingray F-90,CSB -260,"216,449,480 C-Bill"
3029-04-03,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #2,CSB -260,"216,449,220 C-Bill"
3029-04-04,Maintenance,Maintenance for Saladin Assault Hover Tank (Armor),CSB -100,"216,449,120 C-Bill"
3029-04-22,Maintenance,Maintenance for Locust LCT-1V,CSB -300,"216,448,820 C-Bill"
3029-04-23,Maintenance,Maintenance for Javelin JVN-10F 'Fire Javelin',CSB -300,"216,448,520 C-Bill"
3029-04-23,Maintenance,Maintenance for Hunchback HBK-4P,CSB -300,"216,448,220 C-Bill"
3029-04-23,Maintenance,Maintenance for Black Knight BL-7-KNT-L,CSB -300,"216,447,920 C-Bill"
3029-04-23,Maintenance,Maintenance for Stalker STK-4N,CSB -300,"216,447,620 C-Bill"
3029-04-23,Maintenance,Maintenance for Strike Falcon Attack VTOL,CSB -260,"216,447,360 C-Bill"
3029-04-23,Maintenance,Maintenance for Hunchback HBK-4P #2,CSB -300,"216,447,060 C-Bill"
3029-04-23,Maintenance,Maintenance for Strike Falcon Attack VTOL #2,CSB -260,"216,446,800 C-Bill"
3029-04-23,Maintenance,Maintenance for Strike Falcon Attack VTOL #3,CSB -260,"216,446,540 C-Bill"
3029-04-23,Maintenance,Maintenance for MASH Truck (ICE),CSB -100,"216,446,440 C-Bill"
3029-04-23,Maintenance,Maintenance for Leopard (Black Swan Mk III) - The Black Swan,CSB -2000,"216,444,440 C-Bill"
3029-04-23,Maintenance,Maintenance for Heavy BattleMech Recovery Vehicle,CSB -100,"216,444,340 C-Bill"
3029-04-23,Maintenance,Maintenance for Boomerang Spotter Plane,CSB -200,"216,444,140 C-Bill"
3029-04-23,Maintenance,Maintenance for Partisan Heavy Tank,CSB -100,"216,444,040 C-Bill"
3029-04-23,Maintenance,Maintenance for Partisan Heavy Tank #2,CSB -100,"216,443,940 C-Bill"
3029-04-23,Maintenance,Maintenance for Partisan Heavy Tank #3,CSB -100,"216,443,840 C-Bill"
3029-04-23,Maintenance,Maintenance for Union (2708),CSB -2000,"216,441,840 C-Bill"
3029-04-23,Maintenance,Maintenance for Gazelle (Heavy Vehicle) Mk II,CSB -2000,"216,439,840 C-Bill"
3029-04-23,Maintenance,Maintenance for Cicada CDA-3C,CSB -300,"216,439,540 C-Bill"
3029-04-23,Maintenance,Maintenance for Pegasus Scout Hover Tank,CSB -100,"216,439,440 C-Bill"
3029-04-24,Maintenance,Maintenance for Rifleman RFL-3N,CSB -300,"216,439,140 C-Bill"
3029-04-24,Maintenance,Maintenance for Wolfhound WLF-1,CSB -300,"216,438,840 C-Bill"
3029-04-24,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"216,438,740 C-Bill"
3029-04-24,Maintenance,Maintenance for Behemoth Heavy Tank,CSB -100,"216,438,640 C-Bill"
3029-04-24,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"216,438,540 C-Bill"
3029-04-24,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"216,438,280 C-Bill"
3029-04-24,Maintenance,Maintenance for Warrior Attack Helicopter H-7A #2,CSB -260,"216,438,020 C-Bill"
3029-04-24,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"216,437,920 C-Bill"
3029-04-24,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"216,437,820 C-Bill"
3029-04-24,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"216,437,720 C-Bill"
3029-04-26,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"216,437,420 C-Bill"
3029-04-26,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"216,437,120 C-Bill"
3029-04-26,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"216,436,860 C-Bill"
3029-04-27,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"216,436,560 C-Bill"
3029-04-27,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"216,436,460 C-Bill"
3029-04-27,Maintenance,Maintenance for Goblin Medium Tank,CSB -100,"216,436,360 C-Bill"
3029-04-30,Maintenance,Maintenance for Partisan Heavy Tank #4,CSB -100,"216,436,260 C-Bill"
3029-05-01,Maintenance,Maintenance for Maxim Heavy Hover Transport (SRM4),CSB -100,"216,436,160 C-Bill"
