Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maintenance Costs,BV,"# Repairs","# Parts",Site,Quirks,Mode
Heavy BattleMech Recovery Vehicle,Tank,Heavy,IS Introductory Box Set,70.0,"103,740 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Keli ""Glide"" Yoshimura","Non Combat, Support Forces, Morning Star",5/5,Mitya Chien,100 C-Bill,176,0,0,Transport Bay,0,Repair
Boomerang Spotter Plane,Conventional Fighter,Small Support Vehicle,IS TW non-box set,4.999,"59,439 C-Bill",Heavy Damage,Heavy Damage,Fully Crewed,F,"Petty Officer Sloan ""Kaiser"" MacCaw","Support Forces, Morning Star",1/1,"Susan ""Fuzzy"" Wilson",200 C-Bill,9,0,0,Maintenance Facility,0,Repair
Rifleman RFL-3N,Mek,Heavy,IS Introductory Box Set,60.0,"4,214,512 C-Bill",Mothballed,Undamaged,Unsupported,F,-,-,0/1,-,300 C-Bill,1039,0,0,Maintenance Facility,5,Repair
Partisan Heavy Tank,Tank,Assault,IS Introductory Box Set,80.0,"657,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Toniko ""Nag"" Furaha","Armoured Cavalry, Bravo Company (Armour), Morning Star",6/6,Jerry Ullock,100 C-Bill,673,0,0,Transport Bay,0,Repair
Partisan Heavy Tank #2,Tank,Assault,IS Introductory Box Set,80.0,"657,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jessie ""Vegas"" Stunt","Armoured Cavalry, Bravo Company (Armour), Morning Star",6/6,"Hunter ""Toro"" Dotson",100 C-Bill,671,1,0,Transport Bay,0,Repair
Partisan Heavy Tank #3,Tank,Assault,IS Introductory Box Set,80.0,"652,400 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Adalie ""Timeline"" Schmitt","Armoured Cavalry, Bravo Company (Armour), Morning Star",6/6,Ricarda Garibaldi,100 C-Bill,673,0,0,Transport Bay,0,Repair
Union (2708),Dropship,Medium Dropship,IS TW non-box set,3600.0,"166,299,000 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Captain Kellie Sánchez,"DropShips, Morning Star",11/11,Chief Petty Officer Ava Beedell,"2,000 C-Bill",4766,0,0,Factory,0,Repair
Gazelle (Heavy Vehicle) Mk II,Dropship,Medium Dropship,IS TW non-box set,2900.0,"146,882,844 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Captain Amal bin Azim,"DropShips, Morning Star",8/8,Chief Petty Officer Serkan Behramoglu,"2,000 C-Bill",2345,0,0,Factory,0,Repair
Thunderbolt TDR-5SS #2,Mek,Heavy,IS Introductory Box Set,65.0,"4,214,165 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Lieutenant JG Misa ""Reset"" Arnold","Heavy Lance, Alpha Company ('Mech), Morning Star",1/1,"Andréa ""Beagle"" Yoshimura",300 C-Bill,1765,0,0,Transport Bay,3,Repair
Cicada CDA-3C,Mek,Medium,IS Introductory Box Set,40.0,"2,821,413 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Fenella ""Fiddle"" Gatchis","Light Lance, Alpha Company ('Mech), Morning Star",1/1,Caitlinn Fields,300 C-Bill,848,0,0,Transport Bay,1,Repair
Trebuchet TBT-5S,Mek,Medium,IS Introductory Box Set,50.0,"3,559,244 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jorge ""Laddie"" Rangel","Medium Lance, Alpha Company ('Mech), Morning Star",1/1,Jim Cisouw,300 C-Bill,1181,0,0,Transport Bay,1,Repair
Maxim Heavy Hover Transport,Tank,Medium,IS Introductory Box Set,50.0,"392,964 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jamia ""Frontline"" Kümlin","Hover Transport, Infantry Battalion, Morning Star",4/4,Erein Pilbeam,100 C-Bill,764,0,0,Transport Bay,0,Repair
Pegasus Scout Hover Tank,Tank,Light,IS Introductory Box Set,35.0,"209,188 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Mason ""Narcissus"" Cochinescu","Scout, Bravo Company (Armour), Morning Star",3/3,"Labid ""Brave"" Abol-Zhang",100 C-Bill,640,0,0,Transport Bay,0,Repair
Foot Platoon (Laser Marine),Infantry,Light,IS advanced,2.5,"370,440 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Captain Neill Hames,"Infantry Company Alpha (Laser), Infantry Battalion, Morning Star",28/24,Captain Neill Hames,160 C-Bill,122,0,0,Transport Bay,0,Repair
Foot Platoon (Laser Marine) #2,Infantry,Light,IS advanced,2.5,"370,440 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant JG Aviya Nakada,"Infantry Company Alpha (Laser), Infantry Battalion, Morning Star",28/24,Lieutenant JG Aviya Nakada,160 C-Bill,122,0,0,Transport Bay,0,Repair
Foot Platoon (Laser Marine) #3,Infantry,Light,IS advanced,2.5,"370,440 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant SG Jack Ichikawa,"Infantry Company Alpha (Laser), Infantry Battalion, Morning Star",28/24,Lieutenant SG Jack Ichikawa,160 C-Bill,122,0,0,Transport Bay,0,Repair
Manticore Heavy Tank,Tank,Heavy,IS Introductory Box Set,60.0,"535,929 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Lieutenant JG Adonis ""Star"" Yun","Heavy Armour, Bravo Company (Armour), Morning Star",4/4,Siv Ule,100 C-Bill,983,0,0,Transport Bay,0,Repair
Partisan Heavy Tank (LRM),Tank,Assault,IS Introductory Box Set,80.0,"868,000 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Alex ""Bashful"" DeVito","Armoured Cavalry, Bravo Company (Armour), Morning Star",6/6,"Labid ""Brave"" Abol-Zhang",100 C-Bill,1021,0,0,Transport Bay,0,Repair
Warrior Attack Helicopter H-7A,VTOL,Light,IS TW non-box set,21.0,"157,045 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Salihah ""Killjoy"" Ayyub","VTOL Attack, Bravo Company (Armour), Morning Star",2/2,Stanford Che,260 C-Bill,350,0,0,Transport Bay,1,Repair
Warrior Attack Helicopter H-7A #2,VTOL,Light,IS TW non-box set,21.0,"157,045 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Larry ""Chicken"" Khamisi","VTOL Attack, Bravo Company (Armour), Morning Star",2/2,Stanford Che,260 C-Bill,251,0,0,Transport Bay,1,Repair
Mobile Long Tom Artillery LT-MOB-25,Tank,Heavy,IS advanced,75.0,"565,031 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Madeline ""Jaguar"" Mahsud Khel","Artillery, Bravo Company (Armour), Morning Star",5/5,Deborah Taylor,100 C-Bill,835,0,0,Transport Bay,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),Tank,Light,IS advanced,10.0,"4,700 C-Bill",Crippled,Crippled,Fully Crewed,E,"Lieutenant JG Shawna ""Lite"" Kaikeapona","Artillery, Bravo Company (Armour), Morning Star",1/1,Siv Ule,100 C-Bill,152,0,0,Transport Bay,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),Tank,Light,IS advanced,10.0,"4,550 C-Bill",Crippled,Crippled,Fully Crewed,E,"Private Mai-Sie ""Rain Bird"" Sen","Artillery, Bravo Company (Armour), Morning Star",1/1,"Private Ben ""Shockwave"" Lambright",100 C-Bill,131,0,0,Transport Bay,0,Repair
Stalker STK-3F,Mek,Assault,IS Introductory Box Set,85.0,"6,559,090 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant SG Sameh ""Feedback"" Ndadaye","Command Lance, Alpha Company ('Mech), Morning Star",1/1,Keith Filareta,300 C-Bill,2058,0,0,Transport Bay,3,Repair
Spider SDR-5V,Mek,Light,IS Introductory Box Set,30.0,"2,278,458 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Olivera ""Canyon"" Kouki","Light Lance, Alpha Company ('Mech), Morning Star",1/1,Suzuki Uchida,300 C-Bill,622,0,0,Transport Bay,3,Repair
Warrior Attack Helicopter H-7,VTOL,Light,IS TW non-box set,21.0,"168,245 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Teodory ""Cruithe"" Tancsics","VTOL Attack, Bravo Company (Armour), Morning Star",2/2,Jerry Ullock,260 C-Bill,266,0,0,Transport Bay,1,Repair
Maxim Heavy Hover Transport (SRM4),Tank,Medium,IS Introductory Box Set,50.0,"444,929 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Naoko ""Origin"" Fountain","Hover Transport, Infantry Battalion, Morning Star",4/4,"Jung-Ja ""Fuzz"" Yun",100 C-Bill,682,0,0,Transport Bay,0,Repair
Maxim Heavy Hover Transport #2,Tank,Medium,IS Introductory Box Set,50.0,"403,464 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Bjarne ""Rambo"" Lunden","Hover Transport, Infantry Battalion, Morning Star",4/4,"Richelle ""Wagon"" Le Gall",100 C-Bill,688,0,0,Transport Bay,0,Repair
Lightning LTN-G15,Aerospace Fighter,Medium,IS TW non-box set,50.0,"1,845,438 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Lieutenant JG Migen Mar,"AeroSpace Wing, Morning Star",1/1,Lieutenant JG Swapna Abidugun,260 C-Bill,1075,0,0,Maintenance Facility,0,Repair
Stingray F-90,Aerospace Fighter,Medium,IS TW non-box set,60.0,"2,340,182 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Petty Officer Valeria Garavini,"AeroSpace Wing, Morning Star",1/1,Private Brad Volkers,260 C-Bill,1268,0,0,Maintenance Facility,0,Repair
LRM Carrier,Tank,Heavy,IS Introductory Box Set,60.0,"197,100 C-Bill",Crippled,Crippled,Uncrewed,C,-,-,0/4,Amiri Misarian,100 C-Bill,433,0,0,Transport Bay,0,Repair
Shadow Hawk SHD-2K,Mek,Medium,IS Introductory Box Set,55.0,"2,667,431 C-Bill",Undamaged,Undamaged,Fully Crewed,E,Lieutenant JG Rita Ragget-Riley,"Medium Lance, Alpha Company ('Mech), Morning Star",1/1,Corianne Renzenbrink,300 C-Bill,1147,0,0,Transport Bay,6,Repair
Crab CRB-20,Mek,Medium,IS Introductory Box Set,50.0,"3,486,488 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Sergeant Cheyenne Isaacs,"Heavy Lance, Alpha Company ('Mech), Morning Star",1/1,Karon Motsuzuki,300 C-Bill,1106,0,0,Transport Bay,1,Repair
Maxim Heavy Hover Transport #3,Tank,Medium,IS Introductory Box Set,50.0,"224,964 C-Bill",Undamaged,Undamaged,Partially Crewed,D,"Sergeant Angelina ""Medipack"" Woodard","Hover Transport, Infantry Battalion, Morning Star",1/4,"Private Ben ""Shockwave"" Lambright",100 C-Bill,649,0,0,Transport Bay,0,Repair
Manticore Heavy Tank #2,Tank,Heavy,IS Introductory Box Set,60.0,"642,729 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Sergeant Craig Adoniia,"Heavy Armour, Bravo Company (Armour), Morning Star",4/4,Philippe Roger,100 C-Bill,993,0,0,Transport Bay,0,Repair
Javelin JVN-10N,Mek,Light,IS Introductory Box Set,30.0,"1,143,050 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Lieutenant JG Kozue ""The Count"" Ishikawa","Light Lance, Alpha Company ('Mech), Morning Star",1/1,"Jeff ""Tank"" Talip",300 C-Bill,784,0,0,Transport Bay,1,Repair
Stinger LAM STG-A5,Mek,Light,IS advanced,30.0,"1,163,513 C-Bill",Undamaged,Undamaged,Fully Crewed,E,Sergeant Shawn bin Fath,"AeroSpace Wing, Morning Star",1/1,"Sal ""Sweetness"" Cooper",300 C-Bill,1073,0,0,Transport Bay,0,Repair
