Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maint. Cost,Next Maint.,BV,"# Repairs","# Parts",Site,Quirks,Mode
Jump Platoon (Rifle),Infantry,Light,IS TW non-box set,4.0,"304,823 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Captain Eva ""Buck"" Beimler","Echo Urban Warfare Company (Infantry), Morning Star",21/21,Captain Eva Beimler,126 C-Bill,-,93,0,0,Facility - Basic,0,Repair
Strike Falcon Attack VTOL,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"641,720 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Gheorghita ""Toad"" Zhou","Charlie VTOL Insertion Team, Charlie Company (Transport), Morning Star",5/5,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy","1,058 C-Bill",13.5 days,341,0,0,Facility - Basic,2,Repair
Strike Falcon Attack VTOL #2,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"651,170 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Widdad ""Fang"" Voneve","Charlie VTOL Insertion Team, Charlie Company (Transport), Morning Star",5/5,"Master Tech Richelle ""Wagon"" Le Gall","1,073 C-Bill",13.5 days,409,0,0,Facility - Basic,2,Repair
MASH Truck (ICE),Tank,Light,IS advanced,20.0,"126,317 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Lindsay ""Casket"" Vlaminks","Loistics Support Lance, Iota Company (Support), Morning Star",2/2,"Tech 1st Class Per ""Loki"" Gaul",156 C-Bill,13.5 days,358,0,0,Facility - Basic,0,Repair
Leopard (Black Swan Mk III) - The Black Swan,Dropship,Small Dropship,IS TW non-box set,1900.0,"112,052,700 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Euzebia ""Xerxes"" Harendarski","Leopard ""Black Swan"", DropShips, Siera Company (AeroSpace), Morning Star",8/8,Chief Petty Officer Hidetada Kogawa,"461,756 C-Bill",13.5 days,3599,0,0,Facility - Basic,0,Repair
Heavy BattleMech Recovery Vehicle,Tank,Heavy,IS Introductory Box Set,70.0,"381,128 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Keli ""Glide"" Yoshimura","Loistics Support Lance, Iota Company (Support), Morning Star",5/5,"Chief Tech Mitya ""Thought"" Chien",471 C-Bill,13.5 days,194,0,0,Facility - Basic,0,Repair
Boomerang Spotter Plane,Conventional Fighter,Small Support Vehicle,IS TW non-box set,4.999,"42,928 C-Bill",Heavy Damage,Heavy Damage,Fully Crewed,F,"Petty Officer Sloan ""Kaiser"" MacCaw","Airbourne Recon, Siera Company (AeroSpace), Morning Star",1/1,"Tech 1st Class Susan ""Fuzzy"" Wilson",106 C-Bill,13.5 days,10,0,0,Facility - Basic,0,Repair
Rifleman RFL-3N,Mek,Heavy,IS Introductory Box Set,60.0,"3,100,544 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Wai-Yee ""Cabbage"" Kelly","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Master Tech Sally-Rose ""Lumberjack"" Zimmermann","5,111 C-Bill",17.5 days,1039,0,0,Facility - Basic,5,Repair
Partisan Heavy Tank,Tank,Assault,IS Introductory Box Set,80.0,"1,155,881 C-Bill",Crippled,Crippled,Fully Crewed,F,"Sergeant Toniko ""Nag"" Furaha","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Chief Tech Jerry ""Charbroil"" Ullock","1,429 C-Bill",13.5 days,517,5,1,Facility - Basic,1,Repair
Partisan Heavy Tank #2,Tank,Assault,IS Introductory Box Set,80.0,"1,210,725 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jessie ""Vegas"" Stunt","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 1st Class Hunter ""Toro"" Dotson","1,497 C-Bill",13.5 days,673,0,0,Facility - Basic,1,Repair
Partisan Heavy Tank #3,Tank,Assault,IS Introductory Box Set,80.0,"1,210,725 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Adalie ""Timeline"" Schmitt","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 1st Class Ricarda ""Io"" Garibaldi","1,497 C-Bill",13.5 days,673,0,0,Facility - Basic,1,Repair
Union (2708),Dropship,Medium Dropship,IS TW non-box set,3600.0,"136,203,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Kellie ""Woody"" Sánchez","Union, DropShips, Siera Company (AeroSpace), Morning Star",11/11,Chief Petty Officer Ava Maamuni,"561,277 C-Bill",13.5 days,4766,0,0,Facility - Basic,0,Repair
Gazelle (Heavy Vehicle) Mk II,Dropship,Medium Dropship,IS TW non-box set,2900.0,"97,183,044 C-Bill",Light Damage,Light Damage,Partially Crewed,D,"Lieutenant SG Ingrid ""Signs"" Draeger","Gazelle (Heavy Vehicle), DropShips, Siera Company (AeroSpace), Morning Star",7/8,Chief Petty Officer Serkan Behramoglu,"400,480 C-Bill",13.5 days,2345,0,0,Facility - Basic,0,Repair
Thunderbolt TDR-5SS #2,Mek,Heavy,IS Introductory Box Set,65.0,"3,409,715 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Misa ""Reset"" Arnold","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Andréa ""Beagle"" Yoshimura","5,620 C-Bill",13.5 days,2059,0,0,Facility - Basic,3,Repair
Trebuchet TBT-5S,Mek,Medium,IS Introductory Box Set,50.0,"2,582,619 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jorge ""Laddie"" Rangel","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Jim ""Severe"" Cisouw","4,257 C-Bill",13.5 days,1299,0,0,Facility - Basic,1,Repair
Maxim Heavy Hover Transport,Tank,Medium,IS Introductory Box Set,50.0,"704,429 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jamia ""Frontline"" Lucero","Delta Transport Lance (Hover), Charlie Company (Transport), Morning Star",4/4,"Tech 1st Class Erein ""Barbican"" Pilbeam",871 C-Bill,13.5 days,840,0,0,Facility - Basic,0,Repair
Pegasus Scout Hover Tank,Tank,Light,IS Introductory Box Set,35.0,"447,252 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Tekli ""Ethereal"" Ruan","Charlie Armoured Light Recon Team, Bravo Company (Armour), Morning Star",3/3,"Tech 1st Class Folkert ""Carnie"" Sandschulte",553 C-Bill,13.5 days,763,1,1,Facility - Basic,0,Repair
Foot Platoon (Laser Marine),Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Captain Neill ""Growl"" Hames","Delta Security Company (Infantry), Morning Star",24/24,Captain Neill Hames,79 C-Bill,-,133,0,0,Facility - Basic,0,Repair
Foot Platoon (Laser Marine) #2,Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant JG Aviya ""Medipack"" Ichikawa","Delta Security Company (Infantry), Morning Star",24/24,Lieutenant JG Aviya Ichikawa,79 C-Bill,-,109,0,0,Facility - Basic,0,Repair
Foot Platoon (Laser Marine) #3,Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant SG Jack ""Boss"" Ichikawa","Delta Security Company (Infantry), Morning Star",24/24,Lieutenant SG Jack Ichikawa,79 C-Bill,-,133,0,0,Facility - Basic,0,Repair
Mobile Long Tom Artillery LT-MOB-25,Tank,Heavy,IS advanced,75.0,"1,097,578 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Madeline ""Jaguar"" Mahsud Khel","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",5/5,"Tech 2nd Class Deborah ""Blaster"" Taylor","1,357 C-Bill",13.5 days,919,0,0,Facility - Basic,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),Tank,Light,IS advanced,10.0,"51,906 C-Bill",Undamaged,Undamaged,Fully Crewed,B,"Lieutenant JG Shawna ""Lite"" Kaikeapona","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",1/0,Tech 2nd Class Doris Colin,64 C-Bill,13.5 days,126,0,0,Facility - Basic,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),Tank,Light,IS advanced,10.0,"69,117 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Private Mai-Sie ""Rain Bird"" Sen","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",1/1,"Tech 1st Class Ben ""Shockwave"" Namdev",85 C-Bill,13.5 days,152,0,0,Facility - Basic,0,Repair
Stalker STK-3F,Mek,Assault,IS Introductory Box Set,85.0,"4,774,358 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Sameh ""Feedback"" Dinatali","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Keith ""Silat"" Filareta","7,870 C-Bill",13.5 days,2401,0,0,Facility - Basic,3,Repair
Spider SDR-5V,Mek,Light,IS Introductory Box Set,30.0,"1,645,553 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Olivera ""Canyon"" Kouki","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Suzuki ""Gigawatt"" Uchida","2,712 C-Bill",13.5 days,746,0,0,Facility - Basic,3,Repair
Maxim Heavy Hover Transport (SRM4),Tank,Medium,IS Introductory Box Set,50.0,"796,358 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Naoko ""Origin"" Fountain","Delta Transport Lance (Hover), Charlie Company (Transport), Morning Star",4/4,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",985 C-Bill,13.5 days,900,0,0,Facility - Basic,0,Repair
Maxim Heavy Hover Transport #2,Tank,Medium,IS Introductory Box Set,50.0,"704,429 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Esmeralda ""Domino"" Marwat","Delta Transport Lance (Hover), Charlie Company (Transport), Morning Star",4/4,"Master Tech Richelle ""Wagon"" Le Gall",871 C-Bill,13.5 days,917,0,0,Facility - Basic,0,Repair
Stingray F-90,Aerospace Fighter,Medium,IS TW non-box set,60.0,"1,645,616 C-Bill",Light Damage,Light Damage,Fully Crewed,F,"Petty Officer Valeria ""Marmoset"" Garavini","AeroSpace Striker Squadron, Siera Company (AeroSpace), Morning Star",1/1,"Tech 1st Class Brad ""Auntie"" Volkers","5,425 C-Bill",13.5 days,1013,3,1,Facility - Basic,0,Repair
LRM Carrier,Tank,Heavy,IS Introductory Box Set,60.0,"1,099,880 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Sergeant Dennis ""Cyan"" Chlapowski","Echo Armoued Indirect Fire Lance, Bravo Company (Armour), Morning Star",4/4,"Tech 1st Class Susan ""Fuzzy"" Wilson","1,360 C-Bill",13.5 days,996,1,0,Facility - Basic,0,Repair
Shadow Hawk SHD-2K,Mek,Medium,IS Introductory Box Set,55.0,"2,852,041 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Rita ""Eternity"" Ragget-Riley","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Master Tech Sally-Rose ""Lumberjack"" Zimmermann","4,701 C-Bill",13.5 days,1376,0,0,Facility - Basic,6,Repair
Crab CRB-20,Mek,Medium,IS Introductory Box Set,50.0,"2,525,819 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Cheyenne ""Siege"" Isaacs","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Karon ""Daemon"" Motsuzuki","4,163 C-Bill",9.5 days,1257,0,0,Facility - Basic,1,Repair
Warrior Attack Helicopter H-7,VTOL,Light,IS TW non-box set,21.0,"321,266 C-Bill",Crippled,Crippled,Fully Crewed,F,"Corporal Rob ""Coco"" Chippo","Delta VTOL Airbourne Cavalry Lance, Bravo Company (Armour), Morning Star",2/2,"Tech 1st Class Erein ""Barbican"" Pilbeam",530 C-Bill,13.5 days,260,4,1,Facility - Basic,1,Repair
LRM Carrier #2,Tank,Heavy,IS Introductory Box Set,60.0,"1,071,360 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Sergeant Shirai ""Sparky"" Goto","Echo Armoued Indirect Fire Lance, Bravo Company (Armour), Morning Star",4/4,"Tech 1st Class Per ""Loki"" Gaul","1,324 C-Bill",13.5 days,913,1,0,Facility - Basic,0,Repair
Mobile Headquarters (ICE),Tank,Light,IS TW non-box set,25.0,"149,297 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Wendy ""Flamberge"" Basim","HQ, Bravo Company (Armour), Morning Star",2/2,"Tech 1st Class Stanford ""Jetstrike"" Che-MacCaw",185 C-Bill,13.5 days,319,0,0,Facility - Basic,0,Repair
Sherpa Armored Truck,Tank,Medium Support Vehicle,IS advanced,35.0,"125,745 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Corporal Chris ""Frigate"" Viaud","Loistics Support Lance, Iota Company (Support), Morning Star",3/3,"Tech 1st Class Philippe ""Bailiff"" Roger",155 C-Bill,13.5 days,133,1,0,Facility - Basic,0,Repair
Sherpa Armored Truck #2,Tank,Medium Support Vehicle,IS advanced,35.0,"185,282 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Corporal Abizar ""Molly"" Mok","Loistics Support Lance, Iota Company (Support), Morning Star",3/3,"Tech 1st Class Philippe ""Bailiff"" Roger",229 C-Bill,13.5 days,140,1,0,Facility - Basic,0,Repair
Sherpa Armored Truck #3,Tank,Medium Support Vehicle,IS advanced,35.0,"197,530 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Holly ""Professor"" Ruíz","Loistics Support Lance, Iota Company (Support), Morning Star",3/3,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",244 C-Bill,13.5 days,140,1,0,Facility - Basic,0,Repair
Sherpa Armored Truck #4,Tank,Medium Support Vehicle,IS advanced,35.0,"194,802 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Corporal Leisa ""Riffraff"" Volkov","Loistics Support Lance, Iota Company (Support), Morning Star",3/3,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",241 C-Bill,13.5 days,140,2,0,Facility - Basic,0,Repair
Lightning LTN-G15,Aerospace Fighter,Medium,IS TW non-box set,50.0,"1,313,159 C-Bill",Light Damage,Light Damage,Fully Crewed,F,"Lieutenant JG Migen ""Dark"" Mar","AeroSpace Striker Squadron, Siera Company (AeroSpace), Morning Star",1/1,"Chief Tech Hasan ""Hipshot"" Sanjrani","4,329 C-Bill",10.5 days,886,3,1,Facility - Basic,0,Repair
Gazelle (2531),Dropship,Medium Dropship,IS TW non-box set,2900.0,"80,165,200 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Captain Aurora ""Icehouse"" Rathiea","Gazelle, DropShips, Siera Company (AeroSpace), Morning Star",8/8,Chief Petty Officer Mylee Olaires,"330,351 C-Bill",13.5 days,2345,0,0,Facility - Basic,0,Repair
Armored Personnel Carrier (Wheeled),Tank,Light,IS Introductory Box Set,10.0,"33,950 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Sammy ""Ironpalm"" Jolivet","Echo Transport Lance (Wheeled), Charlie Company (Transport), Morning Star",1/1,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy",42 C-Bill,13.5 days,140,0,0,Facility - Basic,0,Repair
Armored Personnel Carrier (Wheeled) #2,Tank,Light,IS Introductory Box Set,10.0,"33,136 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Severin ""Buzzard"" VonTirpitz","Echo Transport Lance (Wheeled), Charlie Company (Transport), Morning Star",1/1,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy",41 C-Bill,13.5 days,185,0,0,Facility - Basic,0,Repair
Armored Personnel Carrier (Wheeled) #3,Tank,Light,IS Introductory Box Set,10.0,"35,263 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Kimberly ""Gauge"" Rais","Echo Transport Lance (Wheeled), Charlie Company (Transport), Morning Star",1/1,"Tech 2nd Class Abdul ""Wolfhound"" Remexido",44 C-Bill,13.5 days,140,0,0,Facility - Basic,0,Repair
Armored Personnel Carrier (Wheeled) #4,Tank,Light,IS Introductory Box Set,10.0,"35,263 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Private Isabelle ""Jumpy"" Jacobson","Echo Transport Lance (Wheeled), Charlie Company (Transport), Morning Star",1/1,"Tech 2nd Class Abdul ""Wolfhound"" Remexido",44 C-Bill,13.5 days,113,0,0,Facility - Basic,0,Repair
Schrek (Large Laser),Tank,Assault,IS experimental,80.0,"2,193,750 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Gebre-Egziabhear ""Flounder"" Kuguru","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 2nd Class Amiri ""Irony"" Misarian","2,712 C-Bill",13.5 days,790,0,0,Facility - Basic,1,Repair
Schrek (Large Laser) #2,Tank,Assault,IS experimental,80.0,"2,193,750 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Carol ""Mantis"" Grant","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 2nd Class Robby ""Breakdance"" Brown","2,712 C-Bill",13.5 days,878,0,0,Facility - Basic,1,Repair
LRM Carrier #3,Tank,Heavy,IS Introductory Box Set,60.0,"843,360 C-Bill",Undamaged,Undamaged,Fully Crewed,B,Lieutenant SG Courtney Kelly,"Echo Armoued Indirect Fire Lance, Bravo Company (Armour), Morning Star",4/4,Tech 2nd Class Adrisa Lamond,"1,043 C-Bill",3.5 days,1166,0,0,Facility - Basic,0,Repair
Sherpa Armored Truck (Mobile Canteen),Tank,Medium Support Vehicle,IS TW non-box set,35.0,"206,280 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Private Sun ""Erosion"" Mata","Loistics Support Lance, Iota Company (Support), Morning Star",11/11,Tech 2nd Class Doris Colin,255 C-Bill,4.5 days,122,0,0,Facility - Basic,0,Repair
Stingray F-90 #2,Aerospace Fighter,Medium,IS TW non-box set,60.0,"1,300,390 C-Bill",In transit (122 days),Undamaged,Unsupported,D,-,-,0/1,-,429 C-Bill,-,1268,0,0,Facility - Basic,0,Repair
Partisan Heavy Tank #4,Tank,Assault,IS Introductory Box Set,80.0,"895,968 C-Bill",In transit (122 days),Undamaged,Unsupported,C,-,-,0/6,-,111 C-Bill,-,423,0,0,Facility - Basic,1,Repair
Locust LCT-1V,Mek,Light,IS Introductory Box Set,20.0,"830,764 C-Bill",In transit (122 days),Undamaged,Unsupported,E,-,-,0/1,-,137 C-Bill,-,432,0,0,Facility - Basic,7,Repair
Rhino Fire Support Tank (Flamer),Tank,Assault,IS Introductory Box Set,80.0,"1,925,717 C-Bill",In transit (92 days),Undamaged,Unsupported,B,-,-,0/6,-,238 C-Bill,-,948,0,0,Facility - Basic,0,Repair
Ontos Heavy Tank,Tank,Assault,IS Introductory Box Set,95.0,"1,383,159 C-Bill",In transit (61 days),Undamaged,Unsupported,F,-,-,0/7,-,171 C-Bill,-,581,0,0,Facility - Basic,0,Repair
LRM Carrier #4,Tank,Heavy,IS Introductory Box Set,60.0,"1,216,800 C-Bill",In transit (122 days),Undamaged,Unsupported,F,-,-,0/4,-,150 C-Bill,-,433,0,0,Facility - Basic,0,Repair
