Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maint. Cost,Next Maint.,BV,"# Repairs","# Parts",Site,Quirks,Mode
Cicada CDA-3C,Mek,Medium,IS Introductory Box Set,40.0,"2,129,615 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Fenella ""Fiddle"" Gatchis","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Caitlinn ""Epoxy"" Fields",819 C-Bill,2.25 days,1018,0,0,Facility - Basic,1,Repair
Trebuchet TBT-5S,Mek,Medium,IS Introductory Box Set,50.0,"2,564,727 C-Bill",Moderate Damage,Moderate Damage,Fully Crewed,F,"Sergeant Jorge ""Laddie"" Rangel","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Jim ""Severe"" Cisouw",986 C-Bill,2.25 days,1541,4,0,Facility - Basic,1,Repair
Maxim Heavy Hover Transport,Tank,Medium,IS Introductory Box Set,50.0,"704,429 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jamia ""Frontline"" Lucero","Delta Transport Lance (Hover), Infantry Battalion, Morning Star",4/4,"Tech 1st Class Erein ""Barbican"" Pilbeam",203 C-Bill,2.25 days,764,0,0,Facility - Maintenance,0,Repair
Pegasus Scout Hover Tank,Tank,Light,IS Introductory Box Set,35.0,"448,633 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Tekli ""Ethereal"" Ruan","Charlie Armoured Light Recon Team, Bravo Company (Armour), Morning Star",3/3,"Tech 1st Class Folkert ""Carnie"" Sandschulte",129 C-Bill,2.25 days,768,0,0,Facility - Maintenance,0,Repair
Foot Platoon (Laser Marine),Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Captain Neill ""Growl"" Hames","Alpha Infantry Security Company Alpha, Infantry Battalion, Morning Star",27/24,Captain Neill Hames,18 C-Bill,-,119,0,0,Facility - Basic,0,Repair
Foot Platoon (Laser Marine) #2,Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant JG Aviya ""Medipack"" Ichikawa","Alpha Infantry Security Company Alpha, Infantry Battalion, Morning Star",26/24,Lieutenant JG Aviya Ichikawa,18 C-Bill,-,116,0,0,Facility - Basic,0,Repair
Foot Platoon (Laser Marine) #3,Infantry,Light,IS advanced,2.5,"191,880 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant SG Jack ""Boss"" Ichikawa","Alpha Infantry Security Company Alpha, Infantry Battalion, Morning Star",26/24,Lieutenant SG Jack Ichikawa,18 C-Bill,-,116,0,0,Facility - Basic,0,Repair
Manticore Heavy Tank,Tank,Heavy,IS Introductory Box Set,60.0,"1,674,743 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Adonis ""Star"" Yun","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",4/4,"Tech 2nd Class Siv ""Hangnail"" Ule",483 C-Bill,2.25 days,1182,2,0,Facility - Maintenance,0,Repair
Partisan Heavy Tank (LRM),Tank,Assault,IS Introductory Box Set,80.0,"1,596,150 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Alex ""Bashful"" DeVito","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 1st Class Labid ""Brave"" Abol-Zhang",460 C-Bill,2.25 days,1225,0,0,Facility - Maintenance,1,Repair
Warrior Attack Helicopter H-7A,VTOL,Light,IS TW non-box set,21.0,"311,440 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Private Larry ""Chicken"" Khamisi","Delta VTOL Airbourne Cavalry Lance, Bravo Company (Armour), Morning Star",2/2,"Tech 1st Class Stanford ""Jetstrike"" Che-MacCaw",120 C-Bill,2.25 days,251,0,0,Facility - Maintenance,1,Repair
Mobile Long Tom Artillery LT-MOB-25,Tank,Heavy,IS advanced,75.0,"1,097,578 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Madeline ""Jaguar"" Mahsud Khel","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",5/5,"Tech 2nd Class Deborah ""Blaster"" Taylor",317 C-Bill,2.25 days,919,0,0,Facility - Maintenance,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),Tank,Light,IS advanced,10.0,"52,786 C-Bill",Undamaged,Undamaged,Fully Crewed,B,"Lieutenant JG Shawna ""Lite"" Kaikeapona","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",1/0,"Tech 2nd Class Siv ""Hangnail"" Ule",15 C-Bill,2.25 days,126,1,0,Facility - Maintenance,0,Repair
Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),Tank,Light,IS advanced,10.0,"69,117 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Private Mai-Sie ""Rain Bird"" Sen","Foxtrot Artillery Team, Bravo Company (Armour), Morning Star",1/1,"Tech 1st Class Ben ""Shockwave"" Namdev",20 C-Bill,2.25 days,144,0,0,Facility - Maintenance,0,Repair
Stalker STK-3F,Mek,Assault,IS Introductory Box Set,85.0,"4,774,358 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Sameh ""Feedback"" Dinatali","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Keith ""Silat"" Filareta","1,836 C-Bill",2.25 days,2401,0,0,Facility - Basic,3,Repair
Spider SDR-5V,Mek,Light,IS Introductory Box Set,30.0,"1,645,553 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Olivera ""Canyon"" Kouki","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Suzuki ""Gigawatt"" Uchida",633 C-Bill,2.25 days,746,0,0,Facility - Basic,3,Repair
Warrior Attack Helicopter H-7,VTOL,Light,IS TW non-box set,21.0,"331,829 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Teodory ""Cruithe"" Tancsics","Delta VTOL Airbourne Cavalry Lance, Bravo Company (Armour), Morning Star",2/2,"Chief Tech Jerry ""Charbroil"" Ullock",128 C-Bill,2.25 days,277,0,0,Facility - Maintenance,1,Repair
Maxim Heavy Hover Transport (SRM4),Tank,Medium,IS Introductory Box Set,50.0,"796,358 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Naoko ""Origin"" Fountain","Delta Transport Lance (Hover), Infantry Battalion, Morning Star",4/4,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",230 C-Bill,2.25 days,682,0,0,Facility - Maintenance,0,Repair
Maxim Heavy Hover Transport #2,Tank,Medium,IS Introductory Box Set,50.0,"704,429 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Esmeralda ""Domino"" Marwat","Delta Transport Lance (Hover), Infantry Battalion, Morning Star",4/4,"Master Tech Richelle ""Wagon"" Le Gall",203 C-Bill,2.25 days,917,0,0,Facility - Maintenance,0,Repair
Stingray F-90,Aerospace Fighter,Medium,IS TW non-box set,60.0,"1,690,507 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Petty Officer Valeria ""Marmoset"" Garavini","AeroSpace Striker Squadron, Morning Star",1/1,"Tech 1st Class Brad ""Auntie"" Volkers","1,300 C-Bill",2.25 days,1268,0,0,Facility - Basic,0,Repair
LRM Carrier,Tank,Heavy,IS Introductory Box Set,60.0,"1,141,440 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Sergeant Dennis ""Cyan"" Chlapowski","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",4/4,"Tech 1st Class Susan ""Fuzzy"" Wilson",329 C-Bill,2.25 days,789,2,0,Facility - Maintenance,0,Repair
Shadow Hawk SHD-2K,Mek,Medium,IS Introductory Box Set,55.0,"2,849,414 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Rita ""Eternity"" Ragget-Riley","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Master Tech Sally-Rose ""Lumberjack"" Zimmermann","1,096 C-Bill",2.25 days,1376,0,0,Facility - Basic,6,Repair
Crab CRB-20,Mek,Medium,IS Introductory Box Set,50.0,"2,525,819 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Cheyenne ""Siege"" Isaacs","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Karon ""Daemon"" Motsuzuki",971 C-Bill,5.25 days,1143,0,0,Facility - Basic,1,Repair
Javelin JVN-10N,Mek,Light,IS Introductory Box Set,30.0,"1,393,163 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant SG Kozue ""The Count"" Ishikawa","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Jeff ""Tank"" Talip",536 C-Bill,2.25 days,998,0,0,Facility - Basic,1,Repair
Warrior Attack Helicopter H-7 #2,VTOL,Light,IS TW non-box set,21.0,"336,515 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Rob ""Coco"" Chippo","Delta VTOL Airbourne Cavalry Lance, Bravo Company (Armour), Morning Star",2/2,"Tech 1st Class Erein ""Barbican"" Pilbeam",129 C-Bill,2.25 days,280,0,0,Facility - Maintenance,1,Repair
Warrior Attack Helicopter H-7 #3,VTOL,Light,IS TW non-box set,21.0,"207,562 C-Bill",Undamaged,Undamaged,Fully Crewed,B,"Sergeant Angelina ""Medipack"" Woodard","Delta VTOL Airbourne Cavalry Lance, Bravo Company (Armour), Morning Star",2/2,"Tech 2nd Class Deborah ""Blaster"" Taylor",80 C-Bill,2.25 days,416,3,0,Facility - Maintenance,1,Repair
LRM Carrier #2,Tank,Heavy,IS Introductory Box Set,60.0,"1,093,320 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Sergeant Ighlas ""Spare Diaper"" Kibowen","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",4/4,"Tech 1st Class Per ""Loki"" Gaul",315 C-Bill,2.25 days,833,0,0,Facility - Maintenance,0,Repair
Ontos Heavy Tank (LRM),Tank,Assault,IS Introductory Box Set,95.0,"1,896,923 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Rauno ""Blobfish"" Pablo","Bravo Armoued Battle Lance, Bravo Company (Armour), Morning Star",7/7,"Tech 1st Class Philippe ""Bailiff"" Roger",547 C-Bill,2.25 days,1789,1,0,Facility - Maintenance,0,Repair
Mobile Headquarters (ICE),Tank,Light,IS TW non-box set,25.0,"149,297 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Wendy ""Flamberge"" Basim","HQ, Bravo Company (Armour), Morning Star",2/2,"Tech 1st Class Stanford ""Jetstrike"" Che-MacCaw",43 C-Bill,2.25 days,319,0,0,Facility - Maintenance,0,Repair
Sherpa Armored Truck,Tank,Medium Support Vehicle,IS advanced,35.0,"126,647 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Corporal Chris ""Frigate"" Viaud","Loistics Support Lance, Morning Star",3/3,"Tech 1st Class Philippe ""Bailiff"" Roger",37 C-Bill,2.25 days,162,2,0,Facility - Maintenance,0,Repair
Sherpa Armored Truck #2,Tank,Medium Support Vehicle,IS advanced,35.0,"161,514 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Corporal Abizar ""Molly"" Mok","Loistics Support Lance, Morning Star",3/3,"Tech 1st Class Philippe ""Bailiff"" Roger",47 C-Bill,2.25 days,140,1,0,Facility - Maintenance,0,Repair
Sherpa Armored Truck #3,Tank,Medium Support Vehicle,IS advanced,35.0,"197,530 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Holly ""Professor"" Ruíz","Loistics Support Lance, Morning Star",3/3,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",57 C-Bill,2.25 days,120,1,0,Facility - Maintenance,0,Repair
Sherpa Armored Truck #4,Tank,Medium Support Vehicle,IS advanced,35.0,"198,716 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Corporal Leisa ""Riffraff"" Volkov","Loistics Support Lance, Morning Star",3/3,"Tech 1st Class Jung-Ja ""Fuzz"" Yun",57 C-Bill,2.25 days,120,1,0,Facility - Maintenance,0,Repair
Lightning LTN-G15,Aerospace Fighter,Medium,IS TW non-box set,50.0,"1,334,057 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Migen ""Dark"" Mar","AeroSpace Striker Squadron, Morning Star",1/1,"Chief Tech Hasan ""Hipshot"" Sanjrani","1,026 C-Bill",6.25 days,1075,0,0,Facility - Basic,0,Repair
Maxim Heavy Hover Transport #3,Tank,Medium,IS Introductory Box Set,50.0,"730,508 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Stan ""Timezone"" bin Dharr","Delta Transport Lance (Hover), Infantry Battalion, Morning Star",4/4,"Tech 1st Class Sakamiw ""Faker"" Sakei",211 C-Bill,2.25 days,963,0,0,Facility - Maintenance,0,Repair
Gazelle (2531),Dropship,Medium Dropship,IS TW non-box set,2900.0,"80,177,800 C-Bill",Undamaged,Undamaged,Fully Crewed,C,"Captain Aurora ""Icehouse"" Rathiea","Gazelle, DropShips, Morning Star",8/8,Chief Petty Officer Mylee Olaires,"77,094 C-Bill",2.25 days,2345,1,0,Facility - Basic,0,Repair
Armored Personnel Carrier (Wheeled),Tank,Light,IS Introductory Box Set,10.0,"32,966 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Corporal Sammy Jolivet,"Echo Transport Lance (Wheeled), Infantry Battalion, Morning Star",1/1,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy",10 C-Bill,2.25 days,140,0,0,Facility - Maintenance,0,Repair
Armored Personnel Carrier (Wheeled) #2,Tank,Light,IS Introductory Box Set,10.0,"32,743 C-Bill",Undamaged,Undamaged,Fully Crewed,E,Corporal Severin VonTirpitz,"Echo Transport Lance (Wheeled), Infantry Battalion, Morning Star",1/1,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy",9 C-Bill,2.25 days,185,0,0,Facility - Maintenance,0,Repair
Armored Personnel Carrier (Wheeled) #3,Tank,Light,IS Introductory Box Set,10.0,"33,622 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Corporal Kimberly Rais,"Echo Transport Lance (Wheeled), Infantry Battalion, Morning Star",1/1,"Tech 2nd Class Abdul ""Wolfhound"" Remexido",10 C-Bill,2.25 days,140,0,0,Facility - Maintenance,0,Repair
Armored Personnel Carrier (Wheeled) #4,Tank,Light,IS Introductory Box Set,10.0,"34,016 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Private Isabelle Jacobson,"Echo Transport Lance (Wheeled), Infantry Battalion, Morning Star",1/1,"Tech 2nd Class Abdul ""Wolfhound"" Remexido",10 C-Bill,2.25 days,108,0,0,Facility - Maintenance,0,Repair
Behemoth Heavy Tank (Laser),Tank,Assault,IS Introductory Box Set,100.0,"1,491,083 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Kinnard ""Mocha"" MacFinlay","Echo Armoued Battle Lance, Bravo Company (Armour), Morning Star",7/7,"Tech 2nd Class Lori ""Barricade"" Panagou",430 C-Bill,2.25 days,1051,0,0,Facility - Maintenance,0,Repair
Behemoth Heavy Tank (Medium Laser Carrier),Tank,Assault,Clan TW,100.0,"1,106,246 C-Bill",Undamaged,Undamaged,Fully Crewed,C,Sergeant Wenceslas Gorgulha,"Echo Armoued Battle Lance, Bravo Company (Armour), Morning Star",7/7,"Tech 1st Class Folkert ""Carnie"" Sandschulte",319 C-Bill,2.25 days,1016,1,0,Facility - Maintenance,0,Repair
Schrek (Large Laser),Tank,Assault,IS experimental,80.0,"2,185,650 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Gebre-Egziabhear ""Flounder"" Kuguru","Echo Armoued Battle Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 2nd Class Amiri ""Irony"" Misarian",630 C-Bill,2.25 days,790,0,0,Facility - Maintenance,1,Repair
Schrek (Large Laser) #2,Tank,Assault,IS experimental,80.0,"2,193,750 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Corporal Carol ""Mantis"" Grant","Echo Armoued Battle Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 2nd Class Robby ""Breakdance"" Brown",633 C-Bill,2.25 days,878,0,0,Facility - Maintenance,1,Repair
Condor Heavy Hover Tank (Liao),Tank,Medium,IS Introductory Box Set,50.0,"598,000 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Corporal Eamonn O'Malone,"Charlie Armoured Light Recon Team, Bravo Company (Armour), Morning Star",4/4,"Tech 2nd Class Evan ""Whisker"" Shafer",172 C-Bill,5.25 days,765,0,0,Facility - Maintenance,0,Repair
