Date,Type,Description,Amount,RunningTotal
3151-03-19,Maintenance,Maintenance for Hatchetman HCT-7S ID:16,CSB -75,"3,458,118 C-Bill"
3151-03-19,Maintenance,Maintenance for Firestarter FS9-M3 ID:17,CSB -75,"3,458,043 C-Bill"
3151-03-19,Unit Sale(s),Sale of Firestarter FS9-M3 ID:17,CSB 473403,"3,931,446 C-Bill"
3151-03-19,Unit Sale(s),Sale of Catapult CPLT-C5A ID:15,CSB 183796,"4,115,242 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of MML 5,CSB -75000,"4,040,242 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Mek Right Arm (IS Endo Steel),CSB -23400,"4,016,842 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Lower Arm Actuator,CSB -2750,"4,014,092 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of SRM 6 (Clan) Artemis V-capable Ammo,CSB -135000,"3,879,092 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Mek Left Torso (Clan Endo Steel),CSB -16200,"3,862,892 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Upper Arm Actuator,CSB -5500,"3,857,392 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Mek Right Torso (IS Endo Steel),CSB -23400,"3,833,992 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Armor (Light Ferro-Fibrous),CSB -75177,"3,758,815 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Medium Pulse Laser,CSB -60000,"3,698,815 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of LRM 10,CSB -100000,"3,598,815 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Gauss Rifle Ammo [IS],CSB -20000,"3,578,815 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Anti-Missile System Ammo [Clan],CSB -2000,"3,576,815 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of Mek Right Arm (Endo-Composite),CSB -28600,"3,548,215 C-Bill"
3151-03-19,Equipment Purchase(s),Purchase of LRM 20 Artemis-capable Ammo,CSB -60000,"3,488,215 C-Bill"
3151-03-19,Ransom,Ransom,CSB 395000,"3,883,215 C-Bill"
3151-03-20,Equipment Purchase(s),Purchase of SRM 6 (Clan) Artemis V-capable Ammo,CSB -135000,"3,748,215 C-Bill"
3151-03-22,Unit Sale(s),Sale of Fire Falcon H ID:11,CSB 935659,"4,683,874 C-Bill"
3151-03-22,Unit Sale(s),Sale of Hunchback HBK-6P ID:10,CSB 963848,"5,647,722 C-Bill"
3151-03-22,Unit Sale(s),Sale of Ostwar OWR-3M ID:8,CSB 27542,"5,675,264 C-Bill"
3151-03-23,Unit Sale(s),Sale of Crab CRB-54 ID:14,CSB 5674454,"11,349,718 C-Bill"
3151-03-24,Unit Sale(s),Sale of Hatchetman HCT-7S ID:16,CSB 655835,"12,005,553 C-Bill"
3151-03-25,Equipment Purchase(s),Purchase of Foot Actuator,CSB -2400,"12,003,153 C-Bill"
3151-03-25,Equipment Purchase(s),Purchase of Lower Leg Actuator,CSB -1600,"12,001,553 C-Bill"
3151-03-25,Equipment Purchase(s),Purchase of Mek Right Leg (IS Endo Steel),CSB -7200,"11,994,353 C-Bill"
3151-03-25,Repairs,Repair of Artemis IV FCS,CSB -9600,"11,984,753 C-Bill"
3151-03-25,Repairs,Repair of ER Small Laser,CSB -1125,"11,983,628 C-Bill"
3151-03-25,Repairs,Repair of Medium Pulse Laser,CSB -8250,"11,975,378 C-Bill"
3151-03-25,Repairs,Repair of Medium Pulse Laser,CSB -8250,"11,967,128 C-Bill"
3151-03-25,Repairs,Repair of Upper Arm Actuator,CSB -650,"11,966,478 C-Bill"
3151-03-25,Repairs,Repair of Double Heat Sink,CSB -576,"11,965,902 C-Bill"
3151-03-25,Repairs,Repair of Foot Actuator,CSB -858,"11,965,044 C-Bill"
3151-03-25,Repairs,Repair of 270 XL (Clan) Engine,CSB -324000,"11,641,044 C-Bill"
3151-03-25,Repairs,Repair of Heavy Medium Laser,CSB -12500,"11,628,544 C-Bill"
3151-03-26,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"11,628,469 C-Bill"
3151-03-26,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"11,628,369 C-Bill"
3151-03-26,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"11,628,294 C-Bill"
3151-03-26,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"11,628,219 C-Bill"
3151-03-26,Maintenance,Maintenance for Starslayer STY-3Dr ID:7,CSB -75,"11,628,144 C-Bill"
3151-03-26,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"11,628,069 C-Bill"
3151-03-26,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"11,627,569 C-Bill"
3151-03-26,Repairs,Repair of Improved Jump Jet,CSB -990,"11,626,579 C-Bill"
3151-03-26,Repairs,Repair of Jump Jet,CSB -780,"11,625,799 C-Bill"
3151-03-26,Repairs,Repair of Heavy Medium Laser,CSB -12500,"11,613,299 C-Bill"
3151-03-26,Repairs,Repair of Standard Gyro,CSB -60000,"11,553,299 C-Bill"
3151-03-26,Repairs,Repair of 200 Light Engine,CSB -104000,"11,449,299 C-Bill"
3151-03-26,Equipment Purchase(s),Purchase of Armor (Heavy Ferro-Fibrous),CSB -124748,"11,324,551 C-Bill"
3151-03-26,Equipment Purchase(s),Purchase of Armor (Heavy Ferro-Fibrous),CSB -124748,"11,199,803 C-Bill"
3151-03-26,Equipment Purchase(s),Purchase of Armor (Heavy Ferro-Fibrous),CSB -124748,"11,075,055 C-Bill"
3151-03-26,Repairs,Repair of Mek Left Arm,CSB -1560,"11,073,495 C-Bill"
3151-03-26,Repairs,Repair of Mek Right Leg,CSB -1560,"11,071,935 C-Bill"
3151-03-26,Repairs,Repair of Mek Right Arm (IS Endo Steel),CSB -1188,"11,070,747 C-Bill"
3151-03-26,Repairs,Repair of ER Medium Laser,CSB -7200,"11,063,547 C-Bill"
3151-03-27,Repairs,Repair of Mech Life Support System,CSB -4800,"11,058,747 C-Bill"
3151-03-27,Repairs,Repair of Mek Left Torso (IS Endo Steel),CSB -1404,"11,057,343 C-Bill"
3151-03-27,Repairs,Repair of Plasma Rifle,CSB -23400,"11,033,943 C-Bill"
3151-03-27,Repairs,Repair of ER Medium Laser,CSB -7200,"11,026,743 C-Bill"
3151-03-28,Repairs,Repair of Jump Jet,CSB -672,"11,026,071 C-Bill"
3151-03-28,Repairs,Repair of Double Heat Sink,CSB -480,"11,025,591 C-Bill"
3151-03-28,Repairs,Repair of 240 XL Engine,CSB -249600,"10,775,991 C-Bill"
3151-03-29,Repairs,Repair of Plasma Rifle,CSB -24960,"10,751,031 C-Bill"
3151-03-29,Repairs,Repair of ER Medium Laser,CSB -7680,"10,743,351 C-Bill"
3151-03-30,Repairs,Repair of ER Small Laser,CSB -1012,"10,742,339 C-Bill"
3151-03-30,Equipment Purchase(s),Purchase of Upper Leg Actuator,CSB -3000,"10,739,339 C-Bill"
3151-03-31,Repairs,Repair of ECM Suite (Guardian),CSB -18000,"10,721,339 C-Bill"
3151-03-31,Equipment Purchase(s),Purchase of Improved Jump Jet,CSB -9000,"10,712,339 C-Bill"
3151-03-31,Equipment Purchase(s),Purchase of Improved Jump Jet,CSB -9000,"10,703,339 C-Bill"
3151-04-01,Contract Payments,Monthly payment for Zhongshan Great Eagle,CSB 1667147,"12,370,486 C-Bill"
3151-04-01,Maintenance,Monthly Spare Parts,CSB -82983,"12,287,503 C-Bill"
3151-04-01,Maintenance,Monthly Ammunition,CSB -290698,"11,996,805 C-Bill"
3151-04-01,Maintenance,Monthly Fuel bill,CSB -414000,"11,582,805 C-Bill"
3151-04-01,Salaries,Monthly salaries,CSB -50400,"11,532,405 C-Bill"
3151-04-01,Overhead,Monthly overhead,CSB -2520,"11,529,885 C-Bill"
3151-04-01,Loan Payment,Clan Sea Fox,CSB -3000000,"8,529,885 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 240 XL Engine,CSB 1248000,"9,777,885 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 260 Fusion Engine,CSB 563333,"10,341,218 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 34 Thunderbolt 5 Ammo,CSB 70834,"10,412,052 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Partial Wing,CSB 68750,"10,480,802 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Lower Arm Actuator,CSB 975,"10,481,777 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Upper Leg Actuator,CSB 2475,"10,484,252 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Upper Leg Actuator,CSB 2925,"10,487,177 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Hand Actuator,CSB 1560,"10,488,737 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Lower Leg Actuator,CSB 1560,"10,490,297 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Upper Arm Actuator,CSB 1950,"10,492,247 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Foot Actuator,CSB 2340,"10,494,587 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Left Leg (IS Endo Steel),CSB 5940,"10,500,527 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Right Arm (IS Endo Steel),CSB 5940,"10,506,467 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Head (IS Endo Steel),CSB 7020,"10,513,487 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Right Torso (IS Endo Steel),CSB 7020,"10,520,507 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Left Arm (IS Endo Steel),CSB 7020,"10,527,527 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Right Leg (IS Endo Steel),CSB 7020,"10,534,547 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Left Torso (IS Endo Steel),CSB 7020,"10,541,567 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Mek Sensors,CSB 39000,"10,580,567 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Lower Arm Actuator,CSB 975,"10,581,542 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Hand Actuator,CSB 1560,"10,583,102 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Lower Leg Actuator,CSB 1560,"10,584,662 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Upper Arm Actuator,CSB 1950,"10,586,612 C-Bill"
3151-04-01,Equipment Sale(s),Sale of 1 Foot Actuator,CSB 2340,"10,588,952 C-Bill"
3151-04-02,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"10,588,877 C-Bill"
3151-04-02,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"10,588,777 C-Bill"
3151-04-02,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"10,588,702 C-Bill"
3151-04-02,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"10,588,627 C-Bill"
3151-04-02,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"10,588,552 C-Bill"
3151-04-02,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"10,588,052 C-Bill"
3151-04-09,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"10,587,977 C-Bill"
3151-04-09,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"10,587,877 C-Bill"
3151-04-09,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"10,587,802 C-Bill"
3151-04-09,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"10,587,727 C-Bill"
3151-04-09,Maintenance,Maintenance for Starslayer STY-3Dr ID:7,CSB -75,"10,587,652 C-Bill"
3151-04-09,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"10,587,577 C-Bill"
3151-04-09,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"10,587,077 C-Bill"
3151-04-09,Maintenance,Maintenance for Thunderbolt TDR-10M ID:13,CSB -75,"10,587,002 C-Bill"
3151-04-16,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"10,586,927 C-Bill"
3151-04-16,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"10,586,827 C-Bill"
3151-04-16,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"10,586,752 C-Bill"
3151-04-16,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"10,586,677 C-Bill"
3151-04-16,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"10,586,602 C-Bill"
3151-04-16,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"10,586,102 C-Bill"
3151-04-23,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"10,586,027 C-Bill"
3151-04-23,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"10,585,927 C-Bill"
3151-04-23,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"10,585,852 C-Bill"
3151-04-23,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"10,585,777 C-Bill"
3151-04-23,Maintenance,Maintenance for Starslayer STY-3Dr ID:7,CSB -75,"10,585,702 C-Bill"
3151-04-23,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"10,585,627 C-Bill"
3151-04-23,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"10,585,127 C-Bill"
3151-04-30,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"10,585,052 C-Bill"
3151-04-30,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"10,584,952 C-Bill"
3151-04-30,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"10,584,877 C-Bill"
3151-04-30,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"10,584,802 C-Bill"
3151-04-30,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"10,584,727 C-Bill"
3151-04-30,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"10,584,227 C-Bill"
3151-04-30,Maintenance,Maintenance for Thunderbolt TDR-10M ID:13,CSB -75,"10,584,152 C-Bill"
3151-05-01,Contract Payments,Monthly payment for Zhongshan Great Eagle,CSB 1667147,"12,251,299 C-Bill"
3151-05-01,Maintenance,Monthly Spare Parts,CSB -82983,"12,168,316 C-Bill"
3151-05-01,Maintenance,Monthly Ammunition,CSB -290698,"11,877,618 C-Bill"
3151-05-01,Maintenance,Monthly Fuel bill,CSB -414000,"11,463,618 C-Bill"
3151-05-01,Salaries,Monthly salaries,CSB -50400,"11,413,218 C-Bill"
3151-05-01,Overhead,Monthly overhead,CSB -2520,"11,410,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of Heavy Vehicle Cubicle,CSB -10000,"11,400,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of Heavy Vehicle Cubicle,CSB -10000,"11,390,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of Heavy Vehicle Cubicle,CSB -10000,"11,380,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of Heavy Vehicle Cubicle,CSB -10000,"11,370,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of Gauss Rifle Ammo [IS],CSB -20000,"11,350,698 C-Bill"
3151-05-01,Equipment Purchase(s),Purchase of LRM 20 Artemis-capable Ammo,CSB -60000,"11,290,698 C-Bill"
3151-05-03,Unit Sale(s),Sale of Thunderbolt TDR-10M ID:13,CSB 1697615,"12,988,313 C-Bill"
3151-05-03,Unit Purchase(s),Purchased Thunderbolt C 2 ID:-1,CSB -6477185,"6,511,128 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 1 Gauss Rifle Ammo [IS],CSB 0,"6,511,128 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 1 Gauss Rifle Ammo [IS],CSB 0,"6,511,128 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 1 Gauss Rifle Ammo [IS],CSB 0,"6,511,128 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 1 Spacecraft Cooling System,CSB 0,"6,511,128 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 22 Streak SRM 4 Ammo,CSB 23760,"6,534,888 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 188 Machine Gun Ammo,CSB 0,"6,534,888 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 8 LRM 15 (Clan) Smoke Ammo,CSB 7500,"6,542,388 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 26 Plasma Rifle Ammo,CSB 39000,"6,581,388 C-Bill"
3151-05-03,Overhead,Ammo,CSB -460000,"6,121,388 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 36 Armor (Reflective),CSB 33750,"6,155,138 C-Bill"
3151-05-03,Equipment Sale(s),Sale of 28 Armor (Light Ferro-Fibrous),CSB 12382,"6,167,520 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of Machine Gun Ammo [Half],CSB -500,"6,167,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of SRM 6 Artemis-capable Ammo,CSB -54000,"6,113,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of SRM 6 Artemis-capable Ammo,CSB -54000,"6,059,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of SRM 6 Artemis-capable Ammo,CSB -54000,"6,005,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of SRM 6 Artemis-capable Ammo,CSB -54000,"5,951,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of SRM 6 Artemis-capable Ammo,CSB -54000,"5,897,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 10 Ammo,CSB -30000,"5,867,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 10 Ammo,CSB -30000,"5,837,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 10 Ammo,CSB -30000,"5,807,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 15 Ammo,CSB -30000,"5,777,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 15 Ammo,CSB -30000,"5,747,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 15 Ammo,CSB -30000,"5,717,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of LRM 15 Ammo,CSB -30000,"5,687,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of Armor (Ferro-Fibrous),CSB -100000,"5,587,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of Armor (Ferro-Fibrous),CSB -100000,"5,487,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of Armor (Ferro-Fibrous),CSB -100000,"5,387,020 C-Bill"
3151-05-03,Equipment Purchase(s),Purchase of Armor (Ferro-Fibrous),CSB -100000,"5,287,020 C-Bill"
